,all_all_max_power,all_all_max_power_freq,all_alpha_max_power,all_alpha_max_power_freq,all_beta_max_power,all_beta_max_power_freq,all_delta_max_power,all_delta_max_power_freq,all_gamma_max_power,all_gamma_max_power_freq,all_theta_max_power,all_theta_max_power_freq,area_under_eeg,epoch,exp,ltm1_all_max_power,ltm1_all_max_power_freq,ltm1_alpha_max_power,ltm1_alpha_max_power_freq,ltm1_beta_max_power,ltm1_beta_max_power_freq,ltm1_delta_max_power,ltm1_delta_max_power_freq,ltm1_gamma_max_power,ltm1_gamma_max_power_freq,ltm1_theta_max_power,ltm1_theta_max_power_freq,mep_size,rtm1_all_max_power,rtm1_all_max_power_freq,rtm1_alpha_max_power,rtm1_alpha_max_power_freq,rtm1_beta_max_power,rtm1_beta_max_power_freq,rtm1_delta_max_power,rtm1_delta_max_power_freq,rtm1_gamma_max_power,rtm1_gamma_max_power_freq,rtm1_theta_max_power,rtm1_theta_max_power_freq,run,sub
0,14.47431385012657,4.0,2.952202047039431,8.0,3.852849996803301,16.0,21.249694275198618,2.0,3.4390034449281566,64.0,14.47431385012657,4.0,-4547.330117878737,0,exp01,19.07685735607915,4.0,2.460224131072561,8.0,3.162542068652285,16.0,33.32208641514902,2.0,3.06833313786967,64.0,19.07685735607915,4.0,2.907715,25.886635687289633,4.0,6.838581558588553,8.0,4.378194269271717,16.0,16.318658554113753,2.0,3.892405892946795,64.0,25.886635687289633,4.0,SP 110RMT r1,sub01
1,5.7088721688394415,12.0,5.7088721688394415,12.0,4.10626079974639,22.0,11.049853885482932,2.0,1.1801989194473825,64.0,2.7275543108012164,4.0,9464.653539584018,1,exp01,5.663179417104049,12.0,5.663179417104049,12.0,2.70889708697049,24.0,10.656449913765659,2.0,1.073647512069476,64.0,3.0572273188121546,4.0,0.737152,10.175146401636695,12.0,10.175146401636695,12.0,4.23080883713114,22.0,6.5615073541276185,2.0,1.518604382651233,64.0,3.671010472811168,6.0,SP 110RMT r1,sub01
2,1.8912919168356404,18.0,1.1389263520855166,10.0,1.8912919168356404,18.0,0.845635527206748,2.0,1.3260587017849153,38.0,1.826067627668758,4.0,2747.4812804576068,2,exp01,2.361558077908079,4.0,1.5950237890328942,10.0,1.8435987446376627,30.0,1.4923874737743774,2.0,1.443420646748116,38.0,2.361558077908079,4.0,0.792999,2.7497531887768623,30.0,1.1242231505942615,8.0,2.7497531887768623,30.0,0.3641916499320357,2.0,1.633040135385099,38.0,1.9622900374418453,6.0,SP 110RMT r1,sub01
3,4.519519342212312,6.0,2.5053167081715557,8.0,2.3747213533475535,26.0,10.71086428242188,2.0,1.1902047882994697,100.0,4.519519342212312,6.0,1118.1495510289678,3,exp01,4.620615253286989,6.0,1.7074696174271824,8.0,1.950617197784881,26.0,10.188028708474063,2.0,1.2312765706690274,100.0,4.620615253286989,6.0,0.900574,5.936107408085803,6.0,3.5057595429960995,8.0,3.674636180081066,26.0,11.019540313998474,2.0,1.290045675259571,100.0,5.936107408085803,6.0,SP 110RMT r1,sub01
4,4.997941112238673,4.0,2.8993882171123397,8.0,2.290451349230878,20.0,30.969727924656976,2.0,1.8732627407493405,34.0,4.997941112238673,4.0,-18479.65794546134,4,exp01,4.0704716439538435,4.0,2.971488941757012,8.0,1.2944003633968093,20.0,29.430222282787405,2.0,1.7397778122918495,34.0,4.0704716439538435,4.0,0.5722050000000001,8.44050193165082,4.0,4.063196263524312,8.0,4.843171455572683,20.0,43.0864084145982,2.0,2.0835056198288586,100.0,8.44050193165082,4.0,SP 110RMT r1,sub01
5,11.506860733560503,6.0,3.7190807798427037,8.0,3.232102511543654,26.0,7.413293814001305,2.0,0.70116335395369,62.0,11.506860733560503,6.0,3468.382639498668,5,exp01,9.140869430523272,6.0,2.405055550436971,8.0,2.706359833925264,26.0,12.37976052601552,2.0,0.6028602465135191,62.0,9.140869430523272,6.0,0.246582,15.158153734911584,6.0,7.287432395420142,8.0,5.129001710129493,26.0,4.220373769410061,2.0,0.9101377516948864,62.0,15.158153734911584,6.0,SP 110RMT r1,sub01
6,5.708236804610106,12.0,5.708236804610106,12.0,1.8967729913847355,16.0,4.90425217149134,2.0,0.8939098370628644,100.0,4.145014411821198,4.0,4014.2967018298805,6,exp01,5.246976087910156,12.0,5.246976087910156,12.0,1.927130485039956,16.0,3.754500734355832,2.0,0.8832617724459209,100.0,2.5299385176956144,4.0,0.522156,7.083468590625345,4.0,5.459969619936888,12.0,1.8778572649011085,16.0,6.343741127122492,2.0,0.9501402499462525,100.0,7.083468590625345,4.0,SP 110RMT r1,sub01
7,11.033683562997652,8.0,11.033683562997652,8.0,1.3179851521461632,18.0,6.971551456833909,2.0,0.7482596407126899,100.0,6.838236626227722,6.0,-34980.10540480446,7,exp01,9.462307974388121,12.0,9.462307974388121,12.0,1.0404284374684412,18.0,11.70026434716346,2.0,0.7536022677986315,100.0,2.4108456661985755,6.0,0.227051,17.81840190422572,8.0,17.81840190422572,8.0,1.708208376635186,18.0,1.6683766356235743,2.0,0.906238814597103,100.0,12.655406467700612,6.0,SP 110RMT r1,sub01
8,13.852436763047244,8.0,13.852436763047244,8.0,2.2766476421350017,26.0,0.08220107398166591,0.0,1.240443811592643,32.0,12.831585345932986,6.0,-23713.148356410093,8,exp01,16.89860170016384,8.0,16.89860170016384,8.0,2.385458903461603,26.0,0.24784936663917062,2.0,0.983160009502078,32.0,15.434008281618183,6.0,0.336151,18.922074011855948,6.0,16.000195267644045,8.0,2.3185645411367863,26.0,0.2594797802352657,2.0,1.1725983945694787,32.0,18.922074011855948,6.0,SP 110RMT r1,sub01
9,24.063175334318014,10.0,24.063175334318014,10.0,3.7118061193710843,16.0,4.292958910736741,2.0,0.876586233760125,100.0,4.216130123866856,6.0,-11819.07498971565,9,exp01,17.887232155632493,10.0,17.887232155632493,10.0,2.8654477357194272,16.0,5.27236863001757,2.0,0.8536790064420557,100.0,4.725142345224264,4.0,0.390015,23.674474034188524,10.0,23.674474034188524,10.0,5.437363466459773,16.0,9.93655069566387,2.0,0.9375832246291235,100.0,7.325527681339667,4.0,SP 110RMT r1,sub01
