sub,exp,run,all_all_max_power,all_all_max_power_freq,all_alpha_max_power,all_alpha_max_power_freq,all_beta_max_power,all_beta_max_power_freq,all_delta_max_power,all_delta_max_power_freq,all_gamma_max_power,all_gamma_max_power_freq,all_theta_max_power,all_theta_max_power_freq,area_under_eeg,epoch,ltm1_all_max_power,ltm1_all_max_power_freq,ltm1_alpha_max_power,ltm1_alpha_max_power_freq,ltm1_beta_max_power,ltm1_beta_max_power_freq,ltm1_delta_max_power,ltm1_delta_max_power_freq,ltm1_gamma_max_power,ltm1_gamma_max_power_freq,ltm1_theta_max_power,ltm1_theta_max_power_freq,mep_size,rtm1_all_max_power,rtm1_all_max_power_freq,rtm1_alpha_max_power,rtm1_alpha_max_power_freq,rtm1_beta_max_power,rtm1_beta_max_power_freq,rtm1_delta_max_power,rtm1_delta_max_power_freq,rtm1_gamma_max_power,rtm1_gamma_max_power_freq,rtm1_theta_max_power,rtm1_theta_max_power_freq
sub03,exp01,SP 110RMT r1,2.600772506961076,9.48,1.7532706733128303,10.16,1.0501284059169955,20.24,2.1671196119071983,2.0,0.7433200422232065,87.64,1.9429638585775455,4.48,-2031.805287506826,24.5,3.7560234031245083,13.0,2.3605775733714323,10.32,1.91529647043319,22.32,2.318334678350066,1.96,1.4773071232190507,65.48,2.3133602445698553,4.72,1.2373627200000001,5.254118328118195,9.68,2.8866110018098112,10.0,1.5593530032758434,20.84,5.959499745084744,2.0,0.8172143029692639,59.32,4.144220730023652,4.64
sub04,exp01,SP 110RMT r1,44.10096887864721,11.72,24.20233950764689,10.72,26.39507771098252,21.88,72.78078582991296,1.88,20.19187398827248,46.6,26.916778197141795,4.72,1836.7461741322302,24.5,13.072823066221789,13.44,8.736943811934305,10.56,7.411295499610635,21.48,14.846033810921504,1.96,5.485778043656927,45.6,7.197475765906234,4.68,1.1722106999999997,118.64403207034263,10.44,68.2510316546138,10.6,62.16481923127947,21.68,204.10675424600652,1.92,48.82662710744746,48.16,72.88749893979855,4.68
sub06,exp01,SP 110RMT r1,4.129348888629278,7.68,3.654683425751261,9.56,0.8372216292166492,19.64,2.0264643907027,1.88,0.4932850876008296,45.0,2.443395164257852,4.92,-1234.187063116839,24.5,6.8467262130582185,7.12,5.78556035035704,9.72,1.2275059437331297,19.28,4.683587924947061,1.96,0.5574762853032417,43.72,4.217393617340559,4.68,0.7416900200000001,5.971410801308545,9.04,4.973905619929045,9.8,1.418234640904518,19.92,3.5173479919671204,1.96,0.8870637391366971,42.32,3.5652255635882466,4.64
sub07,exp01,SP 110RMT r1,31.74871458806859,7.64,18.65263229166495,10.48,10.53134416393001,20.16,62.016727066015044,1.92,6.894437988720708,67.04,29.16119377300718,4.6,-735390.8629363409,24.5,187.42770208216723,7.12,103.81108848378226,10.16,63.40944750033701,20.96,380.33531191119835,2.0,38.115109428067505,47.48,172.6699774524245,4.72,0.19134514000000002,184.70134508832754,7.36,106.18756731492584,10.44,62.72574018173472,20.6,366.75368868497566,2.0,37.80641914372821,48.32,172.1479800534925,4.72
sub08,exp01,SP 110RMT r1,5.753798538478041,8.88,2.6179164112790207,10.6,1.5020170215809026,21.68,10.028095199801268,1.96,0.902746992846542,46.12,5.1994778709314176,4.6,-4043.6890718040418,24.5,2.975757691447674,8.68,1.4275581481997255,10.28,0.8339241250481055,22.88,4.3434335684335705,2.0,0.6157258876879375,48.8,2.440883903012316,4.56,0.8305877599999999,18.73891900598941,7.96,8.820586805493368,10.64,5.509515753693875,21.6,36.66797671834735,2.0,3.620606095692848,46.6,16.458863763729102,4.56
sub10,exp01,SP 110RMT,54.62704808270467,7.56,19.66695031866089,10.32,12.889096655737976,21.84,102.06596475846895,1.96,8.121089131844146,43.28,51.844497052661154,4.64,-280734.6541427368,24.5,32.56137126529338,8.04,13.637801037996043,10.16,9.376212583412157,21.04,44.59976125236711,1.92,5.1162517480364444,52.2,30.47028108589399,4.36,1.86554566,140.1446880040737,8.32,49.55031692198758,10.28,31.906766139762336,21.88,261.09185204809324,2.0,20.92406465753062,43.32,131.84231651515293,4.72
sub11,exp01,SP 110RMT,0.00048113738260356686,11.36,0.0003535500812432867,10.16,0.00021312824648163546,21.88,0.00024194778750827228,1.88,0.00017465791615503076,48.76,0.0003447805290922312,4.8,-3.8387433270777143,24.5,0.0012763930514335389,9.24,0.0008566638224944947,10.28,0.0005537758380086743,22.24,0.0007108385705493399,1.8,0.00045810615855820997,52.88,0.0009832779009203377,4.68,1.93428652,0.00040987617485753946,12.12,0.00024059047121711464,10.32,0.00025952503476915585,21.68,0.00032355204104040985,1.84,0.00019763930111385525,49.64,0.0003067288417553134,4.96
sub13,exp01,SP 110RMT,1.9855517694997318,7.04,0.8617504042553525,10.04,0.6221401168497636,21.2,3.3650574370835606,1.92,1.302014564716961,98.68,1.7726240613932143,4.76,-4387.665559210232,24.5,3.039791150156727,8.16,1.5941229880598125,10.28,1.2303068088361646,21.6,5.198125508886011,1.92,1.4180690141771972,92.84,2.528841232543473,4.8,0.5294983,0.8572138492621009,7.48,0.4738300499706752,10.0,0.24015433471100892,20.92,0.8431313241679135,1.88,1.3438923504111444,100.0,0.7062877784700207,4.56
